0.2,1,0.37,1,0.09,0.0,0.242,0,0,0.4,0.4,0.8,0.534,0.241,0
0.1,0,0.27,1,0.03,0.0,0.317,0,1,0.6,0.0,0.8,0.466,0.26,1
0.1,1,0.27,1,0.03,0.0,0.317,1,1,0.4,0.8,0.2,0.466,0.256,0
0.6,0,0.43,1,0.19,0.0,0.392,1,0,0.8,0.2,0.0,0.334,0.319,0
0.3,1,0.38,0,0.1,0.0,0.458,1,1,0.6,0.6,0.4,0.534,0.412,1
0.5,1,0.36,1,0.07,0.0,2.275,0,0,0.0,0.8,0.4,0.4,1.844,1
0.7,1,0.35,1,0.12,0.0,0.333,1,0,0.6,0.2,0.8,0.534,0.283,0
0.4,0,0.47,1,0.2,0.0,0.583,1,1,0.6,0.6,0.8,0.666,0.501,0
0.0,0,0.38,0,0.12,0.0,0.4,1,1,0.6,0.8,0.8,0.734,0.382,1
0.7,1,0.4,1,0.12,0.0,0.333,0,1,0.8,0.4,0.8,0.666,0.29,1
0.4,0,0.47,0,0.2,0.0,0.583,1,1,0.4,0.0,0.2,0.2,0.571,0
0.2,1,0.33,0,0.09,0.0,0.242,1,0,0.2,0.0,0.4,0.2,0.231,0
0.7,1,0.34,0,0.12,0.0,0.333,0,0,0.2,0.0,0.4,0.2,0.319,0
0.4,0,0.47,1,0.2,0.0,0.583,1,1,0.8,0.8,0.2,0.6,0.578,1
0.3,0,0.32,1,0.1,0.0,0.458,1,0,0.2,0.8,0.6,0.534,0.381,1
0.3,1,0.32,1,0.1,0.0,0.458,1,1,0.6,0.2,0.4,0.4,0.407,0
0.5,0,0.34,1,0.07,0.0,2.275,0,1,0.4,0.4,0.0,0.266,2.038,0
0.1,0,0.32,0,0.03,0.0,0.317,1,1,0.2,0.4,0.6,0.4,0.307,0
0.5,1,0.36,0,0.07,0.0,2.275,0,0,0.8,0.2,0.4,0.466,2.258,1
0.3,0,0.33,1,0.1,0.0,0.458,1,0,0.8,0.2,0.4,0.466,0.429,0
0.1,0,0.32,0,0.03,0.0,0.317,1,1,0.6,0.8,0.2,0.534,0.279,1
0.5,1,0.33,1,0.07,0.0,2.275,0,0,0.4,0.2,0.2,0.266,1.892,1
0.0,1,0.37,1,0.12,0.0,0.4,1,1,0.4,0.8,0.6,0.6,0.349,1
0.7,1,0.34,1,0.12,0.0,0.333,1,0,0.2,0.4,0.2,0.266,0.33,0
0.5,1,0.3,1,0.07,0.0,2.275,1,1,0.8,0.6,0.4,0.6,2.169,1
0.2,1,0.36,1,0.09,0.0,0.242,1,0,0.4,0.8,0.8,0.666,0.218,0
0.2,1,0.34,0,0.09,0.0,0.242,1,1,0.4,0.6,0.8,0.6,0.208,0
0.3,0,0.37,1,0.1,0.0,0.458,1,0,0.4,0.6,0.8,0.6,0.429,1
0.5,1,0.3,0,0.07,0.0,2.275,1,0,0.0,0.8,0.2,0.334,1.936,1
0.2,0,0.34,0,0.09,0.0,0.242,0,1,0.0,0.8,0.2,0.334,0.224,0
0.4,0,0.42,1,0.2,0.0,0.583,1,0,0.6,0.6,0.0,0.4,0.47,0
0.2,1,0.38,1,0.09,0.0,0.242,1,1,0.2,0.4,0.4,0.334,0.198,1
0.5,1,0.31,0,0.07,0.0,2.275,1,1,0.6,0.6,0.0,0.4,2.162,1
0.3,1,0.37,1,0.1,0.0,0.458,1,1,0.8,0.2,0.2,0.4,0.436,1
0.1,0,0.29,1,0.03,0.0,0.317,1,0,0.6,0.0,0.6,0.4,0.282,0
0.2,0,0.31,0,0.09,0.0,0.242,1,1,0.8,0.8,0.0,0.534,0.205,0
